شهر,تاریخ,نوع بازار,افق زمانی (روز),پیش‌بینی مدل,سیگما,دمای واقعی,خطای مطلق,بایاس علامت‌دار,نتیجه,سود/زیان (واحد),اطمینان,احتمال موفقیت
Munich,2026-09-21,بیشینه,0,16.94,1.05,17.0,0.06,0.06,win,5.74,0.2256,0.4798
Cape Town,2026-09-21,کمینه,0,15.21,1.4,14.0,1.21,-1.21,win,17.23,0.2402,0.399
Madrid,2026-09-21,کمینه,0,15.43,1.564,14.0,1.43,-1.43,loss,-8.3,0.6857,0.1066
Tel Aviv,2026-09-21,کمینه,,21.6,1.4,27.0,5.4,5.4,بدون سیگنال,,,
Ankara,2026-09-21,بیشینه,0,25.04,0.703,26.0,0.96,0.96,بدون سیگنال,,,
Milan,2026-09-21,کمینه,,17.44,1.4,16.0,1.44,-1.44,بدون سیگنال,,,
Hong Kong,2026-09-21,کمینه,1,26.66,1.4,27.0,0.34,0.34,بدون سیگنال,,,
Tel Aviv,2026-09-21,بیشینه,0,31.78,0.699,30.0,1.78,-1.78,loss,-10.0,0.1093,0.4375
Singapore,2026-09-21,بیشینه,0,31.88,0.959,33.0,1.12,1.12,بدون سیگنال,,,
Shanghai,2026-09-21,کمینه,0,22.39,1.4,22.0,0.39,-0.39,win,0.1,1.0,0.621
Seoul,2026-09-21,کمینه,0,17.29,1.4,19.0,1.71,1.71,win,0.3,0.9072,0.6011
Paris,2026-09-21,بیشینه,0,22.52,1.152,22.0,0.52,-0.52,loss,-10.0,0.116,0.4271
Seoul,2026-09-21,بیشینه,0,27.74,1.278,27.0,0.74,-0.74,بدون سیگنال,,,
Kuala Lumpur,2026-09-21,کمینه,,24.61,1.4,26.0,1.39,1.39,بدون سیگنال,,,
Shanghai,2026-09-21,بیشینه,0,28.03,0.968,29.0,0.97,0.97,بدون سیگنال,,,
Paris,2026-09-21,کمینه,0,10.77,1.4,11.0,0.23,0.23,بدون سیگنال,,,
Kuala Lumpur,2026-09-21,بیشینه,0,32.17,1.016,33.0,0.83,0.83,بدون سیگنال,,,
Istanbul,2026-09-21,بیشینه,0,24.8,1.016,26.0,1.2,1.2,بدون سیگنال,,,
Hong Kong,2026-09-21,بیشینه,1,31.42,0.987,33.0,1.58,1.58,بدون سیگنال,,,
Ankara,2026-09-21,کمینه,0,14.33,1.4,14.0,0.33,-0.33,loss,-10.16,0.5915,0.1665
Istanbul,2026-09-21,کمینه,,19.11,1.4,19.0,0.11,-0.11,بدون سیگنال,,,
Tokyo,2026-09-21,بیشینه,0,25.56,0.594,26.0,0.44,0.44,loss,-10.0,0.0128,0.3233
Munich,2026-09-21,کمینه,,10.42,1.4,7.0,3.42,-3.42,بدون سیگنال,,,
Madrid,2026-09-21,بیشینه,0,31.79,0.952,33.0,1.21,1.21,بدون سیگنال,,,
Cape Town,2026-09-21,بیشینه,0,27.96,1.4,27.0,0.96,-0.96,بدون سیگنال,,,
Jeddah,2026-09-21,بیشینه,0,37.26,1.028,36.0,1.26,-1.26,بدون سیگنال,,,
Jeddah,2026-09-21,کمینه,,28.14,1.4,30.0,1.86,1.86,بدون سیگنال,,,
Milan,2026-09-21,بیشینه,0,30.61,0.783,30.0,0.61,-0.61,loss,-10.0,0.0195,0.4271
Tokyo,2026-09-21,کمینه,0,21.3,1.4,22.0,0.7,0.7,win,1.56,0.5221,0.5292
Singapore,2026-09-21,کمینه,0,25.53,1.4,26.0,0.47,0.47,loss,-10.0,1.0,0.5916
Chicago,2026-09-20,بیشینه,0,68.46,1.281,70.5,2.04,2.04,بدون سیگنال,,,
