تاریخ,شهر,دمای سیگنال,دمای نهایی,قیمت خرید (سنت),قیمت فروش (سنت),برآیند (%)
2026-09-07,Ankara,25.0C,24.0C,57.5,0.0,-100.0
2026-09-07,Dallas,100.0-101.0F,100.5F,53.0,100.0,88.7
2026-09-07,Seoul,28.0C,28.0C,53.5,100.0,86.9
2026-09-07,Chicago,78.0-79.0F,80.5F,60.0,0.0,-100.0
2026-09-07,Chicago,78.0-79.0F,80.5F,50.5,0.0,-100.0
2026-09-06,Ankara,32.0C,32.0C,75.0,100.0,33.3
2026-09-06,Milan,31.0C,32.0C,56.0,0.0,-100.0
2026-09-06,Toronto,23.0C,22.0C,56.5,0.0,-100.0
2026-09-06,Istanbul,29.0C,29.0C,35.5,100.0,181.7
2026-09-06,Singapore,33.0C,33.0C,69.5,100.0,43.9
2026-09-06,Kuala Lumpur,34.0C,33.0C,55.5,0.0,-100.0
2026-09-05,Ankara,29.0C,,51.0,60.0,17.6
2026-09-05,Atlanta,98.0-99.0F,96.5F,42.0,0.0,-100.0
2026-09-05,Munich,24.0C,24.0C,62.5,100.0,60.0
2026-09-05,Tel Aviv,32.0C,32.0C,87.5,100.0,14.3
2026-09-05,Singapore,33.0C,33.0C,78.5,100.0,27.4
2026-09-05,Shanghai,30.0C,30.0C,60.5,100.0,65.3
2026-09-05,New York,80.0-81.0F,78.5F,57.5,0.0,-100.0
2026-09-05,Munich,24.0C,24.0C,62.5,100.0,60.0
2026-09-05,Los Angeles,80.0-81.0F,80.5F,41.0,100.0,143.9
2026-09-05,Istanbul,27.0C,26.0C,70.5,0.0,-100.0
2026-09-05,Atlanta,98.0-99.0F,96.5F,42.0,0.0,-100.0
2026-09-04,Ankara,28.0C,,43.5,52.0,19.5
2026-09-04,Atlanta,94.0-95.0F,,59.5,60.0,0.8
2026-09-04,Istanbul,26.0C,26.0C,59.0,100.0,69.5
2026-09-04,Milan,32.0C,,52.5,61.0,16.2
2026-09-04,Madrid,39.0C,,62.0,68.0,9.7
2026-09-04,Tokyo,27.0C,27.0C,68.0,100.0,47.1
2026-09-03,Ankara,30.0C,30.0C,58.0,100.0,72.4
2026-09-03,Miami,90.0-91.0F,92.5F,48.5,0.0,-100.0
